name,email,personnummer,average_heartbeat,chronic_illness
Anna Johansen,anna.johansen171@example.se,20050416-5190,67,
Vilde Rasmussen,vilde.rasmussen6@example.se,19730806-2976,68,
Tilde Virtanen,tilde.virtanen658@example.se,19631227-4141,65,
Lars Poulsen,lars.poulsen586@example.se,19880916-6367,78,Migraine
Henrik Hansen,henrik.hansen839@example.se,19640225-3848,59,Type 2 Diabetes
Jonas Holm,jonas.holm120@example.se,19681115-5525,63,COPD
Maja Olofsson,maja.olofsson760@example.se,19711124-8154,73,
Aksel Dahl,aksel.dahl763@example.se,19690328-9653,83,Arthritis
Aksel Svensson,aksel.svensson700@example.se,19940623-7141,76,
Ingrid Sigurdsson,ingrid.sigurdsson94@example.se,20030708-3429,59,COPD
Nora Poulsen,nora.poulsen250@example.se,19930609-4611,58,Asthma
Oskar Sigurdsson,oskar.sigurdsson424@example.se,19990626-1511,56,Hypothyroidism
Kari Laine,kari.laine226@example.se,19620316-8907,66,Asthma
Oskar Nielsen,oskar.nielsen305@example.se,19950206-1406,75,Arthritis
Henrik Laine,henrik.laine321@example.se,19821222-4507,60,Type 2 Diabetes
Freja Eriksen,freja.eriksen65@example.se,19711012-2684,71,
Oskar Poulsen,oskar.poulsen68@example.se,19680419-8168,86,Asthma
Tilde Laine,tilde.laine624@example.se,19860122-9713,69,COPD
Emil Laine,emil.laine383@example.se,19780626-7447,64,Asthma
Nora Hansen,nora.hansen68@example.se,19990601-9395,48,COPD
Henrik Poulsen,henrik.poulsen70@example.se,19580123-4913,80,Hypothyroidism
Erik Eriksen,erik.eriksen907@example.se,19540913-6350,94,Migraine
Sofie Nielsen,sofie.nielsen153@example.se,19960503-3772,65,Type 2 Diabetes
Aksel Olofsson,aksel.olofsson857@example.se,20040801-6789,63,Hypothyroidism
Vilde Sigurdsson,vilde.sigurdsson659@example.se,19710812-6330,74,
Jonas Olofsson,jonas.olofsson338@example.se,19920623-6148,74,Celiac Disease
Freja Karlsen,freja.karlsen959@example.se,19601025-2286,73,Type 2 Diabetes
Aksel Holm,aksel.holm9@example.se,19720704-9935,65,
Erik Laine,erik.laine916@example.se,19931123-3387,86,COPD
Henrik Rasmussen,henrik.rasmussen922@example.se,19930201-3389,62,Hypothyroidism
Henrik Poulsen,henrik.poulsen47@example.se,20030223-4635,72,Hypertension
Jonas Olofsson,jonas.olofsson503@example.se,19551118-2893,86,Migraine
Sanna Laine,sanna.laine254@example.se,19670504-2698,65,COPD
Vilde Nielsen,vilde.nielsen377@example.se,19591204-6818,79,Type 2 Diabetes
Elias Rasmussen,elias.rasmussen807@example.se,19680819-2715,40,
Kasper Poulsen,kasper.poulsen714@example.se,19631224-9756,73,Asthma
Erik Sigurdsson,erik.sigurdsson189@example.se,19820404-9304,82,Celiac Disease
Elias Svensson,elias.svensson730@example.se,19710602-2736,67,
Nora Berg,nora.berg561@example.se,20041122-3441,66,COPD
Vilde Berg,vilde.berg217@example.se,19761203-4830,75,Hypothyroidism
Erik Sigurdsson,erik.sigurdsson333@example.se,19560124-7654,72,
Freja Berg,freja.berg848@example.se,19710606-7647,68,Migraine
Erik Dahl,erik.dahl540@example.se,20050527-3079,68,Asthma
Sofie Eriksen,sofie.eriksen823@example.se,19951227-7883,65,
Tilde Andersson,tilde.andersson426@example.se,20020825-2126,53,Hypothyroidism
Kari Rasmussen,kari.rasmussen571@example.se,19880923-6681,71,Migraine
Jonas Holm,jonas.holm181@example.se,19731119-2266,67,COPD
Aksel Lund,aksel.lund587@example.se,19580102-1639,63,Asthma
Sanna Laine,sanna.laine484@example.se,19540512-2169,71,COPD
Tilde Dahl,tilde.dahl794@example.se,19500207-3398,62,
Sanna Dahl,sanna.dahl17@example.se,19751218-3635,71,
Lars Svensson,lars.svensson7@example.se,20040928-8601,68,Hypothyroidism
Maja Andersson,maja.andersson951@example.se,19770904-5904,70,COPD
Ingrid Andersson,ingrid.andersson865@example.se,19881002-1462,81,
Erik Lund,erik.lund908@example.se,19521128-7414,92,Arthritis
Aksel Hansen,aksel.hansen233@example.se,19520411-2645,70,Celiac Disease
Tilde Hansen,tilde.hansen930@example.se,19930113-1043,78,Arthritis
Emil Karlsen,emil.karlsen453@example.se,20011201-9420,75,
Sanna Lund,sanna.lund163@example.se,19670523-8543,75,Arthritis
Ingrid Berg,ingrid.berg942@example.se,19900307-3856,57,Celiac Disease
Elias Karlsen,elias.karlsen114@example.se,19901008-8519,80,
Erik Dahl,erik.dahl59@example.se,19910224-4344,71,COPD
Vilde Svensson,vilde.svensson799@example.se,19881020-9662,68,Type 2 Diabetes
Sofie Holm,sofie.holm227@example.se,19840915-2611,64,Migraine
Lars Sigurdsson,lars.sigurdsson750@example.se,19800416-4472,81,Migraine
Vilde Holm,vilde.holm413@example.se,19610416-2012,84,
Elias Andersson,elias.andersson158@example.se,19791004-9550,57,COPD
Freja Lund,freja.lund514@example.se,19720110-3724,74,
Kari Nielsen,kari.nielsen343@example.se,19690819-7177,67,Hypothyroidism
Ingrid Lund,ingrid.lund464@example.se,20010310-7341,67,Migraine
Elias Eriksen,elias.eriksen619@example.se,19890109-9233,80,Migraine
Nora Johansen,nora.johansen269@example.se,19930610-5413,61,Hypothyroidism
Tilde Olofsson,tilde.olofsson35@example.se,19870924-7742,63,Hypothyroidism
Lars Lund,lars.lund952@example.se,19760414-2912,83,Celiac Disease
Tilde Poulsen,tilde.poulsen441@example.se,19940720-6083,74,Asthma
Sofie Hansen,sofie.hansen345@example.se,19661126-9407,76,Migraine
Henrik Olofsson,henrik.olofsson338@example.se,19510301-9388,76,Migraine
Ingrid Korhonen,ingrid.korhonen757@example.se,19500404-4668,54,Arthritis
Erik Poulsen,erik.poulsen283@example.se,19530602-6501,64,Asthma
Maja Sigurdsson,maja.sigurdsson946@example.se,19850723-5161,57,Celiac Disease
Kari Sigurdsson,kari.sigurdsson683@example.se,19770615-5285,55,Arthritis
Sofie Sigurdsson,sofie.sigurdsson364@example.se,19960220-1587,84,
Elias Karlsen,elias.karlsen119@example.se,19861216-3031,78,Arthritis
Freja Hansen,freja.hansen306@example.se,19510612-4280,104,Asthma
Kasper Lund,kasper.lund8@example.se,19750501-1870,61,Arthritis
Kari Karlsen,kari.karlsen638@example.se,19811209-6922,86,COPD
Tilde Lund,tilde.lund946@example.se,19611110-7847,72,Type 2 Diabetes
Erik Rasmussen,erik.rasmussen371@example.se,19611119-1594,77,Arthritis
Emil Eriksen,emil.eriksen520@example.se,19570416-1508,69,Migraine
Elias Andersson,elias.andersson285@example.se,19620213-8224,54,Migraine
Elias Andersson,elias.andersson14@example.se,19530227-9499,73,Arthritis
Elias Sigurdsson,elias.sigurdsson67@example.se,19860201-5909,76,Hypothyroidism
Anna Nielsen,anna.nielsen333@example.se,19550521-4706,76,
Maja Poulsen,maja.poulsen751@example.se,19570607-1308,57,COPD
Nora Poulsen,nora.poulsen177@example.se,19531122-6236,85,
Anna Svensson,anna.svensson876@example.se,19501110-7972,64,Type 2 Diabetes
Mika Andersson,mika.andersson101@example.se,19880610-5324,60,
Sofie Virtanen,sofie.virtanen558@example.se,19560106-3456,81,
Vilde Rasmussen,vilde.rasmussen746@example.se,19790505-8662,81,Hypothyroidism
Elias Andersson,elias.andersson977@example.se,19520313-5879,79,Celiac Disease
Aksel Karlsen,aksel.karlsen817@example.se,19750204-6183,80,Arthritis
Tilde Johansen,tilde.johansen583@example.se,19930803-6303,93,Hypertension
Elias Andersson,elias.andersson222@example.se,19510609-2850,66,Type 2 Diabetes
Sofie Berg,sofie.berg375@example.se,19580415-8198,59,Asthma
Henrik Hansen,henrik.hansen846@example.se,19790110-1460,62,Hypertension
Oskar Andersson,oskar.andersson846@example.se,19540410-2245,73,Hypothyroidism
Nora Hansen,nora.hansen346@example.se,20040816-6086,59,COPD
Emil Sigurdsson,emil.sigurdsson843@example.se,19771022-5362,60,Asthma
Nora Sigurdsson,nora.sigurdsson891@example.se,19950121-3826,66,Hypertension
Kari Dahl,kari.dahl692@example.se,19860809-3789,65,Type 2 Diabetes
Ingrid Svensson,ingrid.svensson689@example.se,19841223-9107,59,Asthma
Lars Virtanen,lars.virtanen660@example.se,19650828-2155,73,Type 2 Diabetes
Kasper Johansen,kasper.johansen145@example.se,19751220-9636,74,
Anna Lund,anna.lund384@example.se,19651201-5750,54,Hypertension
Henrik Hansen,henrik.hansen575@example.se,19621207-9613,71,Hypothyroidism
Emil Poulsen,emil.poulsen95@example.se,19770214-7441,80,Hypothyroidism
Lars Eriksen,lars.eriksen830@example.se,19601217-2474,71,Hypothyroidism
Oskar Lund,oskar.lund433@example.se,20030803-2206,52,Arthritis
Tilde Nielsen,tilde.nielsen456@example.se,20030311-5539,59,
Erik Olofsson,erik.olofsson222@example.se,19610607-2072,60,Hypertension
Freja Rasmussen,freja.rasmussen908@example.se,20000221-2370,76,Hypothyroidism
Anna Svensson,anna.svensson677@example.se,19860519-9099,67,Migraine
Ingrid Laine,ingrid.laine995@example.se,19961112-8981,88,COPD
Henrik Sigurdsson,henrik.sigurdsson640@example.se,19600216-8471,68,Asthma
Emil Hansen,emil.hansen349@example.se,20010702-7761,66,Hypertension
Henrik Dahl,henrik.dahl573@example.se,19600714-1212,70,Type 2 Diabetes
Tilde Lund,tilde.lund865@example.se,20041217-8125,79,
Vilde Olofsson,vilde.olofsson588@example.se,20031002-9321,69,COPD
Emil Korhonen,emil.korhonen865@example.se,19550903-2054,80,
Maja Eriksen,maja.eriksen303@example.se,19880404-7136,75,COPD
Aksel Svensson,aksel.svensson259@example.se,19660408-6813,64,Type 2 Diabetes
Vilde Korhonen,vilde.korhonen567@example.se,19510415-9507,66,Hypothyroidism
Kari Karlsen,kari.karlsen36@example.se,19880927-7222,83,Type 2 Diabetes
Ingrid Poulsen,ingrid.poulsen739@example.se,20010414-1239,73,Celiac Disease
Oskar Johansen,oskar.johansen833@example.se,19991005-8436,67,Arthritis
Erik Olofsson,erik.olofsson552@example.se,19740408-2534,88,COPD
Sofie Karlsen,sofie.karlsen844@example.se,19540415-4002,77,Asthma
Nora Berg,nora.berg524@example.se,19660214-3633,74,Celiac Disease
Henrik Johansen,henrik.johansen974@example.se,19760217-5155,64,
Oskar Laine,oskar.laine99@example.se,19640421-7783,61,Hypertension
Elias Andersson,elias.andersson94@example.se,19671213-6187,63,COPD
Sofie Andersson,sofie.andersson435@example.se,19661213-4734,72,
Mika Svensson,mika.svensson535@example.se,19600212-7847,73,Type 2 Diabetes
Lars Rasmussen,lars.rasmussen893@example.se,19561213-5941,79,Hypertension
Jonas Laine,jonas.laine914@example.se,19790714-3743,74,Celiac Disease
Mika Holm,mika.holm717@example.se,19571016-5942,61,COPD
Oskar Sigurdsson,oskar.sigurdsson628@example.se,19811021-5509,78,Asthma
Sofie Berg,sofie.berg589@example.se,19941016-2885,68,Migraine
Sanna Johansen,sanna.johansen165@example.se,19601225-8755,74,Hypertension
Sanna Virtanen,sanna.virtanen597@example.se,19871212-2945,74,Type 2 Diabetes
Aksel Virtanen,aksel.virtanen426@example.se,19761125-8318,68,Migraine
Nora Holm,nora.holm163@example.se,19691120-5226,77,Celiac Disease
Tilde Virtanen,tilde.virtanen207@example.se,19600710-8927,82,Asthma
Freja Berg,freja.berg720@example.se,19630317-6999,63,Migraine
Vilde Johansen,vilde.johansen810@example.se,19640318-3277,56,Migraine
Tilde Korhonen,tilde.korhonen485@example.se,19900906-6062,80,Arthritis
Kasper Sigurdsson,kasper.sigurdsson74@example.se,20020228-4550,69,Hypertension
Lars Svensson,lars.svensson501@example.se,19550518-9756,60,Hypothyroidism
Kari Korhonen,kari.korhonen682@example.se,19920120-9525,63,
Ingrid Svensson,ingrid.svensson773@example.se,19730728-4900,91,Type 2 Diabetes
Sofie Korhonen,sofie.korhonen619@example.se,19870225-3495,73,COPD
Freja Johansen,freja.johansen889@example.se,19530320-3991,65,Type 2 Diabetes
Jonas Dahl,jonas.dahl813@example.se,19920213-7985,72,Hypothyroidism
Ingrid Virtanen,ingrid.virtanen809@example.se,19980518-3589,75,Hypertension
Ingrid Virtanen,ingrid.virtanen669@example.se,19931118-2362,58,
Nora Laine,nora.laine323@example.se,19741110-2284,71,Migraine
Anna Eriksen,anna.eriksen421@example.se,19811016-6470,71,
Ingrid Johansen,ingrid.johansen540@example.se,19650102-6184,73,Celiac Disease
Elias Poulsen,elias.poulsen42@example.se,19750513-4374,88,Migraine
Maja Laine,maja.laine693@example.se,19801228-4610,60,Type 2 Diabetes
Maja Olofsson,maja.olofsson845@example.se,19670128-5083,77,COPD
Vilde Olofsson,vilde.olofsson536@example.se,19590915-2806,89,
Oskar Poulsen,oskar.poulsen419@example.se,19881210-9191,66,
Tilde Korhonen,tilde.korhonen44@example.se,19570721-8946,80,
Vilde Sigurdsson,vilde.sigurdsson944@example.se,19890611-4180,64,
Anna Svensson,anna.svensson160@example.se,19981023-1407,68,Asthma
Henrik Berg,henrik.berg371@example.se,19731101-5880,73,Hypothyroidism
Ingrid Korhonen,ingrid.korhonen647@example.se,19911023-1353,75,Type 2 Diabetes
Emil Nielsen,emil.nielsen554@example.se,19620505-5068,59,
Maja Poulsen,maja.poulsen339@example.se,19910218-6251,78,
Lars Berg,lars.berg709@example.se,19961022-2054,77,Asthma
Aksel Svensson,aksel.svensson610@example.se,19631106-9010,82,Celiac Disease
Henrik Laine,henrik.laine891@example.se,19771019-4509,57,Type 2 Diabetes
Henrik Poulsen,henrik.poulsen139@example.se,19540323-9904,78,Hypothyroidism
Erik Johansen,erik.johansen907@example.se,19920220-9861,65,Celiac Disease
Henrik Dahl,henrik.dahl30@example.se,19820416-5043,68,Hypertension
Freja Olofsson,freja.olofsson389@example.se,19730211-9948,65,Celiac Disease
Kasper Rasmussen,kasper.rasmussen798@example.se,19590123-2880,74,Asthma
Nora Olofsson,nora.olofsson354@example.se,19821107-6465,78,Type 2 Diabetes
Sanna Rasmussen,sanna.rasmussen589@example.se,19541220-9105,67,Hypertension
Kasper Poulsen,kasper.poulsen713@example.se,19851120-7594,73,Hypothyroidism
Erik Hansen,erik.hansen829@example.se,19640206-3714,70,COPD
Kasper Nielsen,kasper.nielsen958@example.se,19990622-7294,59,Type 2 Diabetes
Jonas Rasmussen,jonas.rasmussen687@example.se,19661109-1697,64,
Oskar Korhonen,oskar.korhonen180@example.se,19961008-3418,94,Migraine
Mika Eriksen,mika.eriksen231@example.se,19730419-7087,87,
Kasper Virtanen,kasper.virtanen325@example.se,19530804-6835,55,
Tilde Berg,tilde.berg315@example.se,19590218-7715,83,Asthma
Sanna Holm,sanna.holm847@example.se,19901028-7383,55,
Aksel Poulsen,aksel.poulsen427@example.se,19630628-2444,70,Asthma
Erik Hansen,erik.hansen254@example.se,19550219-1532,71,Asthma
Tilde Dahl,tilde.dahl428@example.se,19980504-9881,63,Asthma
Anna Eriksen,anna.eriksen629@example.se,19970906-4138,77,Migraine
Lars Svensson,lars.svensson28@example.se,19740522-1352,71,
Sofie Nielsen,sofie.nielsen198@example.se,19611025-7206,84,Type 2 Diabetes
Oskar Svensson,oskar.svensson538@example.se,19700213-9113,71,Type 2 Diabetes
Maja Berg,maja.berg131@example.se,19660116-3232,50,Migraine
Anna Svensson,anna.svensson745@example.se,19700724-2079,61,Asthma
Emil Lund,emil.lund834@example.se,19670216-1534,65,
Nora Eriksen,nora.eriksen78@example.se,19610411-3963,76,Hypothyroidism
Lars Virtanen,lars.virtanen27@example.se,19930520-6249,91,COPD
Aksel Lund,aksel.lund318@example.se,20000624-3415,56,Celiac Disease
Vilde Karlsen,vilde.karlsen653@example.se,19740322-7888,55,Hypertension
Elias Sigurdsson,elias.sigurdsson596@example.se,19810217-9676,60,Type 2 Diabetes
Ingrid Andersson,ingrid.andersson439@example.se,19501119-7473,80,Hypertension
Maja Poulsen,maja.poulsen304@example.se,19580111-4847,73,Migraine
Vilde Nielsen,vilde.nielsen174@example.se,20010115-6554,71,COPD
Tilde Andersson,tilde.andersson392@example.se,19500102-4193,65,
Ingrid Berg,ingrid.berg651@example.se,19730413-8629,85,Hypothyroidism
Nora Virtanen,nora.virtanen30@example.se,19910922-1365,78,COPD
Freja Holm,freja.holm217@example.se,19610924-8751,70,Migraine
Anna Andersson,anna.andersson337@example.se,19730401-4560,59,Hypertension
Oskar Hansen,oskar.hansen141@example.se,19660716-2096,46,Hypothyroidism
Jonas Hansen,jonas.hansen871@example.se,19771217-5134,75,Type 2 Diabetes
Nora Poulsen,nora.poulsen761@example.se,19890510-1626,73,Hypothyroidism
Freja Berg,freja.berg490@example.se,19610711-9428,77,Arthritis
Lars Eriksen,lars.eriksen100@example.se,19840714-5587,76,
Oskar Olofsson,oskar.olofsson233@example.se,19540316-4535,68,Asthma
Aksel Svensson,aksel.svensson524@example.se,19830226-3995,88,Hypertension
Jonas Hansen,jonas.hansen164@example.se,20020227-3195,84,Asthma
Maja Eriksen,maja.eriksen766@example.se,19540909-5160,77,Arthritis
Anna Svensson,anna.svensson445@example.se,19770604-6186,78,COPD
Elias Korhonen,elias.korhonen618@example.se,19650605-7148,82,
Sanna Dahl,sanna.dahl953@example.se,19580204-3934,80,Arthritis
Tilde Svensson,tilde.svensson796@example.se,19850517-7259,75,Hypothyroidism
Jonas Berg,jonas.berg167@example.se,19710926-2927,79,Celiac Disease
Ingrid Olofsson,ingrid.olofsson427@example.se,19980615-8521,71,Asthma
Lars Eriksen,lars.eriksen617@example.se,20001001-7788,61,Celiac Disease
Emil Johansen,emil.johansen904@example.se,19560820-1275,99,COPD
Lars Johansen,lars.johansen942@example.se,19510128-7117,56,
Henrik Rasmussen,henrik.rasmussen626@example.se,19640312-1812,60,Migraine
Ingrid Poulsen,ingrid.poulsen346@example.se,19851202-5796,84,Hypothyroidism
Kari Olofsson,kari.olofsson244@example.se,20030528-5194,70,Migraine
Freja Olofsson,freja.olofsson66@example.se,19830824-6420,63,Hypothyroidism
Tilde Karlsen,tilde.karlsen632@example.se,19600806-1985,76,Arthritis
Freja Dahl,freja.dahl387@example.se,19530525-8152,80,
Sofie Andersson,sofie.andersson788@example.se,20040223-3374,78,
Oskar Olofsson,oskar.olofsson82@example.se,19880618-9211,60,Type 2 Diabetes
Erik Korhonen,erik.korhonen429@example.se,19520402-3190,65,Hypothyroidism
Vilde Lund,vilde.lund521@example.se,19590723-6211,81,Type 2 Diabetes
Sanna Olofsson,sanna.olofsson640@example.se,19820513-8290,64,Arthritis
Maja Holm,maja.holm472@example.se,19901204-4317,82,Type 2 Diabetes
Jonas Hansen,jonas.hansen360@example.se,19710205-9247,77,Type 2 Diabetes
Kasper Virtanen,kasper.virtanen560@example.se,19721110-8239,78,
Freja Berg,freja.berg303@example.se,19610810-7149,72,Migraine
Sofie Hansen,sofie.hansen272@example.se,19720302-4510,73,Migraine
Anna Nielsen,anna.nielsen351@example.se,19761020-3694,75,Arthritis
Kasper Rasmussen,kasper.rasmussen919@example.se,19690620-9549,63,Type 2 Diabetes
Maja Sigurdsson,maja.sigurdsson450@example.se,19510323-2141,79,Hypothyroidism
Ingrid Korhonen,ingrid.korhonen806@example.se,19500528-8570,71,Migraine
Oskar Eriksen,oskar.eriksen258@example.se,19521114-7658,71,
Kasper Svensson,kasper.svensson814@example.se,19550624-2866,53,Migraine
Maja Eriksen,maja.eriksen548@example.se,20001208-9934,78,Migraine
Mika Korhonen,mika.korhonen769@example.se,20030716-5549,58,
Mika Olofsson,mika.olofsson868@example.se,19790405-6710,100,Asthma
Jonas Virtanen,jonas.virtanen628@example.se,19890412-2669,82,
Oskar Karlsen,oskar.karlsen46@example.se,19660227-3124,65,Type 2 Diabetes
Elias Holm,elias.holm411@example.se,19610119-1713,68,Type 2 Diabetes
Kari Holm,kari.holm658@example.se,19590817-5692,72,
Henrik Dahl,henrik.dahl522@example.se,19641212-9332,65,
Tilde Rasmussen,tilde.rasmussen869@example.se,19570813-1005,82,
Maja Hansen,maja.hansen554@example.se,19860417-8635,76,Migraine
Anna Johansen,anna.johansen437@example.se,19551103-1910,59,Celiac Disease
Elias Olofsson,elias.olofsson40@example.se,19720510-1779,67,Celiac Disease
Mika Karlsen,mika.karlsen598@example.se,19700103-7498,67,Type 2 Diabetes
Vilde Virtanen,vilde.virtanen20@example.se,19700206-8492,66,Arthritis
Ingrid Karlsen,ingrid.karlsen820@example.se,19941212-6204,62,Arthritis
Mika Nielsen,mika.nielsen273@example.se,19810216-8278,69,COPD
Sanna Berg,sanna.berg944@example.se,19790417-2880,83,Asthma
Aksel Eriksen,aksel.eriksen674@example.se,19840124-4610,74,Arthritis
Aksel Korhonen,aksel.korhonen347@example.se,19700220-8557,54,Hypertension
Aksel Berg,aksel.berg875@example.se,19890102-3221,84,Type 2 Diabetes
Vilde Olofsson,vilde.olofsson316@example.se,19570913-4608,79,
Elias Nielsen,elias.nielsen911@example.se,19740618-7456,77,Asthma
Freja Dahl,freja.dahl624@example.se,19961101-1659,58,COPD
Aksel Virtanen,aksel.virtanen606@example.se,20041006-7462,92,Celiac Disease
Nora Eriksen,nora.eriksen823@example.se,19970625-2120,55,
Kari Johansen,kari.johansen982@example.se,19941026-7221,76,Migraine
Lars Nielsen,lars.nielsen430@example.se,19551114-1471,72,Hypothyroidism
Emil Eriksen,emil.eriksen272@example.se,19821205-9941,77,Celiac Disease
Erik Svensson,erik.svensson850@example.se,20020403-9905,56,
Sofie Sigurdsson,sofie.sigurdsson362@example.se,19870326-7487,80,Celiac Disease
Emil Eriksen,emil.eriksen57@example.se,19870803-3946,92,COPD
Sofie Poulsen,sofie.poulsen177@example.se,19801124-1605,61,Asthma
Tilde Johansen,tilde.johansen894@example.se,19831210-9883,75,COPD
Nora Nielsen,nora.nielsen389@example.se,20020914-7017,71,Celiac Disease
Kasper Andersson,kasper.andersson235@example.se,19820907-2490,74,Hypertension
Nora Sigurdsson,nora.sigurdsson2@example.se,19671111-1023,82,Hypertension
Sanna Berg,sanna.berg280@example.se,19650510-9618,59,
Anna Laine,anna.laine161@example.se,19561105-7736,61,COPD
Emil Hansen,emil.hansen235@example.se,20010801-2981,77,Asthma
Jonas Sigurdsson,jonas.sigurdsson778@example.se,19780223-9135,84,Celiac Disease
Ingrid Johansen,ingrid.johansen694@example.se,20000802-6096,88,Hypothyroidism
Emil Sigurdsson,emil.sigurdsson606@example.se,19680603-9346,65,Type 2 Diabetes
Anna Nielsen,anna.nielsen569@example.se,19830226-1346,71,Type 2 Diabetes
Kasper Poulsen,kasper.poulsen904@example.se,19820805-3953,73,Arthritis
Vilde Rasmussen,vilde.rasmussen326@example.se,20001208-7666,60,
Erik Virtanen,erik.virtanen627@example.se,19891228-4872,64,
Nora Karlsen,nora.karlsen908@example.se,19731119-1067,71,Celiac Disease
Jonas Nielsen,jonas.nielsen834@example.se,19580623-1399,74,Celiac Disease
Lars Svensson,lars.svensson234@example.se,19850317-5081,63,
Kasper Johansen,kasper.johansen151@example.se,19500401-4343,62,Type 2 Diabetes
Tilde Berg,tilde.berg626@example.se,19750311-1484,85,Arthritis
Sofie Lund,sofie.lund196@example.se,20050225-7387,74,Arthritis
Erik Korhonen,erik.korhonen929@example.se,19630225-8918,55,Hypothyroidism
Emil Rasmussen,emil.rasmussen540@example.se,19510118-7943,74,Arthritis
Nora Eriksen,nora.eriksen803@example.se,19570412-7703,78,Asthma
Freja Nielsen,freja.nielsen146@example.se,19630914-5299,68,
Erik Poulsen,erik.poulsen443@example.se,19820811-7117,74,Celiac Disease
Erik Sigurdsson,erik.sigurdsson772@example.se,20040614-1147,62,Arthritis
Oskar Korhonen,oskar.korhonen275@example.se,19610512-6669,75,Asthma
Mika Virtanen,mika.virtanen754@example.se,19890402-1122,81,COPD
Anna Berg,anna.berg729@example.se,19860906-1113,53,
Erik Eriksen,erik.eriksen262@example.se,19721010-2750,72,Asthma
Freja Johansen,freja.johansen501@example.se,19691215-7218,79,Asthma
Ingrid Poulsen,ingrid.poulsen719@example.se,19630122-6606,66,Celiac Disease
Erik Olofsson,erik.olofsson13@example.se,19570224-2638,66,Hypothyroidism
Tilde Svensson,tilde.svensson298@example.se,19640503-9328,59,Arthritis
Elias Virtanen,elias.virtanen60@example.se,19980618-5241,80,COPD
Elias Korhonen,elias.korhonen527@example.se,19990114-8477,62,Hypothyroidism
Emil Lund,emil.lund30@example.se,19571128-2813,90,Migraine
Kasper Rasmussen,kasper.rasmussen721@example.se,19760724-1569,79,
Elias Berg,elias.berg954@example.se,19871013-7515,60,
Aksel Berg,aksel.berg268@example.se,19890906-6327,78,COPD
Kari Sigurdsson,kari.sigurdsson363@example.se,20010526-2750,71,Arthritis
Kasper Eriksen,kasper.eriksen698@example.se,19531008-8293,84,COPD
